prec,tmin,tmax,rhum,srad,wspd
0,67.226,84.128,82.922,567.438,5.108
0,66.038,84.488,81.885,585.136,5.911
0,73.616,91.112,83.43,534.924,4.432
0,67.226,88.394,78.892,681.842,3.669
0,63.446,88.034,79.059,662.173,5.442
,,,,,
,71.132,88.502,,645.146,
0.01,68.882,87.44,80.597,505.029,4.917
0,64.274,86.378,77.513,636.043,3.386
0.01,62.852,87.206,83.593,559.526,4.253
0,67.1,90.41,75.553,638.103,5.964
0,72.32,95.828,78.319,631.928,6.03
0,70.304,93.596,83.708,595.363,4.194
0,72.77,96.44,78.343,569.078,4.394
0,65.336,98.906,72.098,654.798,2.933
0,67.46,96.188,78.206,640.825,6.001
0,68.882,95.126,71.377,545.187,4.547
0,64.382,90.41,78.281,501.495,5.216
0,56.102,85.082,69.241,607.084,4.47
0.27,55.4,89.924,70.081,609.55,3.734
0.77,62.726,67.334,99.442,51.507,4.463
0,62.492,81.986,85.964,512.102,5.179
0,64.382,91.58,79.476,553.884,7.297
0.27,70.07,87.44,86.686,430.77,5.295
0,65.804,92.516,78.642,631.682,3.683
0,63.554,91.58,79.475,620.107,4.547
0.66,66.038,89.924,79.292,577.747,8.354
0.4,54.464,78.674,72.892,560.435,7.056
0,50.9,82.706,71.065,621.764,3.037
0,57.416,86.252,66.432,609.4,4.986
0,56.588,85.082,64.994,617.105,7.046
0,58.244,88.988,60.068,609.498,8.33
0,62.258,91.112,62.711,480.848,8.408
0,71.492,90.878,70.806,547.329,10.558
1.42,67.82,93.956,77.199,457.731,6.835
0.74,64.148,80.834,90.074,208.073,5.984
0.01,53.51,72.788,79.908,267.407,6.959
0,48.308,72.536,66.455,608.663,7.428
0,44.044,77.378,71.083,582.961,5.806
0,55.508,87.566,64.79,533.602,7.588
0,51.494,90.518,71.248,433.253,9.598
0,49.964,77.486,57.139,594.224,6.128
0,48.308,75.506,70.72,310.955,6.338
0.04,62.852,77.504,85.928,248.77,8.402
0.02,58.478,71.024,98.02,73.43,6.54
0.01,48.308,81.05,64.139,568.311,4.564
0,48.542,88.628,64.959,506.274,3.884
1.22,59.774,85.082,83.888,333.432,5.231
0,62.15,82.112,81.567,522.427,4.691
0,60.008,82.112,74.858,454.574,6.214
0,52.448,66.632,87.275,233.248,6.951
0,52.556,87.332,78.422,459.004,5.362
0.92,47.462,66.272,90.196,142.303,9.213
0.01,47.228,55.868,98.052,112.117,4.275
0,53.978,90.752,66.353,490.218,9.116
0.28,64.256,75.866,84.673,223.236,4.875
0.01,64.976,84.362,84.083,358.367,10.309
0.59,54.212,77.396,87.369,64.213,9.808
0,47.48,76.064,68.735,512.228,5.122
0.36,49.604,64.742,88.075,197.359,5.769
0,43.452,67.91,73.783,479.057,3.097
0,39.789,77.864,69.745,412.894,4.689
0,50.306,77.378,70.354,491.065,4.577
0,48.2,86.486,58.557,456.981,6.311
0,46.418,75.488,58.969,475.096,4.695
0,40.975,82.346,54.91,455.027,4.553
0,36.831,61.664,64.373,484.241,7.082
0,33.163,62.726,64.703,478.575,4.66
0,34.822,68.054,58.596,467.886,6.877
0,43.569,77.504,56.965,445.049,7.011
0,44.398,77.846,58.281,421.475,5.347
0,37.656,77.486,50.169,447.009,3.398
0,48.65,92.3,47.759,417.289,4.952
0,48.416,83.408,58.424,347.481,3.385
0,43.452,80.096,61.882,355.715,3.445
0.03,54.806,73.13,75.937,240.735,3.343
0,47.012,73.724,68.217,385.542,8.233
0,35.528,68.63,51.881,427.895,6.229
0,32.925,76.658,49.148,418.34,6.024
0,33.163,74.192,53.593,408.958,5.358
0,44.636,72.536,50.245,390.915,7.962
0,33.517,66.506,49.854,393.357,5.068
0,36.469,64.022,54.739,302.433,5.422
0,28.656,71.24,54.418,349.293,4.541
0,32.095,74.912,46.888,389.18,5.979
0,32.331,65.57,48.79,379.129,4.51
0,43.333,73.724,60.06,254.019,7.442
0,58.946,78.44,73.379,248.054,10.147
0,43.333,64.76,88.939,116.903,6.584
0.13,44.28,72.554,80.118,157.665,10.743
0.07,45.59,60.494,58.181,197.463,15.286
0,34.453,55.4,55.395,293.602,16.739
0,27.471,54.554,50.424,,7.599
0,29.017,71.834,39.581,342.049,10.279
0,37.537,67.928,54.092,330.262,6.233
0,34.696,51.494,70.393,136.738,6.965
0,34.099,59.774,56.761,289.982,4.862
0,25.466,60.944,54.705,338.697,4.078
0,35.521,63.788,44.848,337.729,11.232
0,31.266,52.664,51.648,,12.337
0,20.376,52.898,49.52,,5.033
0,27.718,66.038,42.682,323.918,9.682
0,39.434,75.02,40.714,306.372,9.48
0,43.095,74.174,44.798,315.229,7.14
0,43.095,71.942,64.592,272.595,10.692
0,27.945,57.056,86.83,50.112,7.478
0.05,21.679,55.4,72.086,272.14,5.434
1.37,31.977,44.517,97.524,13.068,14.126
0.37,26.877,45.572,78.557,,11.204
0,26.056,47.822,75.996,268.217,5.97
0,23.923,54.914,80.034,277.364,4.308
0,27.352,49.01,86.209,246.404,4.149
,31.858,42.503,84.62,107.951,7.752
,21.918,43.925,84.088,228.611,8.524
,28.063,47.354,83.095,218.659,7.996
,26.758,36.945,74.099,57.873,8.789
,29.604,37.18,90.714,42.453,7.16
,24.516,33.163,93.813,49.31,7.108
,13.154,31.491,72.626,,7.34
,15.386,39.421,80.717,23.297,14.527
,10.67,29.836,,246.566,
,17.168,47.462,58.16,250.261,8.9
,14.45,55.508,53.369,235.787,6.471
,33.399,57.164,40.801,215.813,17.446
,23.805,47,,,
,,,,,
,11.012,33.861,,,
,19.427,42.847,70.18,247.863,6.95
,20.732,40.487,75.656,110.443,9.276
,20.959,34.111,70.154,205.279,14.911
,9.356,26.872,81.167,241.997,6.539
,5.09,35.389,78.336,247.77,2.931
,8.528,30.542,78.255,209.208,2.727
,7.232,36.457,74.94,225.94,3.028
,23.448,53.492,68.117,227.389,7.247
,16.826,53.636,60.966,128.993,6.835
,6.152,46.04,83.742,96.206,24.237
,-2.128,12.308,62.969,246.752,12.407
,0.95,18.122,58,123.51,5.614
,16.934,30.423,65.255,208.243,9.707
,19.546,26.404,79.401,50.13,8.004
,15.386,29.485,90.277,101.448,7.161
,19.184,29.368,85.367,88.2,6.052
,5.45,28.418,83.076,196.752,3.284
,24.042,33.037,92.631,86.692,6.28
,25.693,42.622,82.822,157.637,7.486
,15.386,31.62,77.122,176.837,10.023
,14.09,27.588,83.475,74.101,7.714
,25.225,32.095,86.687,65.97,8.567
,23.094,31.028,96.687,24.842,9.054
,16.826,24.517,90.504,48.166,10.569
,7.934,21.078,94.337,127.726,5.827
,7.826,33.152,89.813,186.743,8.196
,10.67,48.776,75.848,220.307,5.211
,24.28,45.698,96.699,28.702,9.751
,12.074,60.584,80.833,172.682,13.718
,3.668,15.17,78.16,91.296,13.522
,5.216,18.104,67.406,,12.139
,3.308,34.218,69.114,242.827,5.918
,9.95,38.709,77.409,202.499,4.779
,4.136,37.998,76.57,251.993,4.895
,11.138,41.792,76.995,236.681,4.676
,18.482,44.618,79.812,228.299,5.872
,16.466,38.493,71.656,34.693,15.746
,13.748,20.365,68.028,155.829,8.628
,15.746,20.494,87.85,70.593,9.483
,6.044,24.507,95.101,117.566,8.919
,-2.614,7.916,76.383,243.72,13.628
,-10.552,6.494,81.743,223.984,5.488
,-9.85,22.255,83.399,182.828,6.434
,1.886,25.218,86.248,160.078,4.727
,12.902,24.415,82.096,206.367,9.574
,12.2,22.037,85.307,189.218,8.629
,16.232,40.24,86.095,166.234,10.908
,7.826,16.466,80.706,219.306,10.993
,-1.552,8.294,82.576,135.938,6.557
,-13.054,16.214,83.646,294.417,4.407
,3.434,17.168,85.804,188.836,6.08
,6.746,26.285,95.848,151.45,8.803
,-7.6,8.762,77.754,302.982,8.409
,0.824,36.104,85.33,268.679,6.065
,8.636,32.076,88.727,303.26,5.041
,10.544,25.358,91.933,271.166,7.27
,12.92,39.526,84.546,296.074,5.453
,15.044,45.212,82.776,296.652,4.922
,20.84,36.588,90.805,216.328,7.607
,7.574,21.196,85.857,184.91,9.733
,3.434,21.441,94.846,60.685,9.396
